Company,Id,Reviewer_Id,Title,Review,Date,Rating
Deliveroo,60709f95f85d75087052ff8b,60709f8f0a30fd001b06dc52,Ordered food and apparently the driver…,"Ordered food and apparently the driver was waiting for 10 mins to deliver the food even though I was stood outside. They then didn't deliver and customer service were useless. Dont bother, stick with Just Eat",2021-04-09 18:40,{2: 'Poor'}
Deliveroo,60708710f85d75087052c89b,6070870c2158190019b3ab8e,Disgusting Live Customer Service CHAT!!!,I received standard bag of buttons that cost £1.60 but I asked for share bags at £2.85 so I've been charged share bags for them when I've got wrong ones. Wanted to get rembushed for different in cost. Been out of pocket over this last time so I didnt't want excuses but live chat staff tried to end my chat twice and was passed onto a manager who tried to end it as well with excuses. Each case is looked into and wasn't accepted for a refund. I'm £3.75 out of pocket.,2021-04-09 16:55,{1: 'Bad'}
Deliveroo,60707b91f85d75087052abb6,602eb3ac49aeca0019ad4b70,Just had an appalling experience with…,"Just had an appalling experience with deliveroo. Had ordered a pizza with a £10 discount code that showed on the total until it processed my card and the whole amount went through with no discount.  After phoning customer service and then put through to management, and after much arguing deliveroo point blank refused to refund my money.  They would not bend even though the website had appeared to accept the voucher. I will never use deliveroo again",2021-04-09 16:06,{1: 'Bad'}
Deliveroo,60705919f85d7508705251d4,60705856348d93001ad1ca1f,The same situation happened twice,"The same situation happened twice. I ordered food around 10 pm and been waiting for the food for more than 2 hours and the ice cream would come melted. They refused to return the money and also somehow I was able to pay for the orders, but not for the subscription. So overpaid a lot for the delivery, had to create new account.",2021-04-09 13:39,{2: 'Poor'}
Deliveroo,60705138f85d750870523d4d,6070512519dc76001aebe4b1,Driver left without giving us food,Driver turned up late couldn’t find us and left. Awful,2021-04-09 13:06,{1: 'Bad'}
Deliveroo,60701fb8f85d75087051b618,5fcf534133b62e00194147a9,Wish Icould give it zero stars,Wish Icould give it zero stars. Customers service accused me of confabulating!!! And refused to take responsibility of placing an ice cream order with SOMEONE else’s hot food Orders together in one bike rider!!!!! you can imagine how it all melted and leaked everywhere... REALLY POOR EXPERIENCE,2021-04-09 09:34,{1: 'Bad'}
Deliveroo,606f6220f85d75087050df29,606f621b252e9400195d0279,Once again we placed an order,Once again we placed an order - paid Deliveroo a premium to deliver it. Delivery time is 8.35. The drivers waiting in the restaurant- oh wait then it’s 8.45 then it’s 9. Then suddenly they can’t find a driver. Then it’s 9.40. And the food is stone cold. Every time. Never again.,2021-04-08 20:05,{1: 'Bad'}
Deliveroo,606ed6abf85d7508704f5b9c,529cb994000064000157b639,Deliveroo rider stole from me,Deliveroo rider stole from me on his way out of my building. Deliveroo customer service effectively shrugged their shoulders. Deliveroo have no idea who is delivering for them as riders are allowed to share their accounts with ABSOLUTELY ANYONE - Deliveroo simply does not care as long as they get their revenue.,2021-04-08 10:10,{1: 'Bad'}
Deliveroo,606e15cef85d7508704e7ee8,551017660000ff0001b3597e,Useless service,Useless service. I live 5 mins from store and driver can’t find my address! Told driver nearby and delivery time kept getting put back. Then got a call while driver near but hung up when answered. Then told food left outside because couldn’t contact me! No food. This is not the first time. Previously got half an order and given a £5 voucher. Service is just rubbish. Cancelled account and will not use again. Do not recommend at all.,2021-04-07 20:27,{1: 'Bad'}
Deliveroo,606dfc12f85d7508704e45f5,606dfc0dc80f69001ac5410f,Do not use this app,Do not use this app! There t and c protect driver theft if you order and then you don't receive your order then you are not entitled to a refund and this was all comfirmed by a customer service manager who also couldn't tell me what happened to the product I ordered would give no star review but have to to warn people of this use just eat instead no wonder the all over news feeds working for slave labour disgusting customer service worst ever,2021-04-07 18:38,{1: 'Bad'}
Deliveroo,606dfacdf85d7508704e42df,5f4b86f517cf8a022d63ad98,Wouldn't even give 1 star,"Wouldn't even give 1 star. Took my money, never delivered the product and then suspended my account for asking for my money back. Aweful service. Do not be fooled they will Rob you!",2021-04-07 18:32,{1: 'Bad'}
Deliveroo,606deaa9f85d7508704e1836,606dea89402b0e001a9890a4,"I ordered food my new account,I dint…","I ordered food my new account,I dint got the right food , I talk to the customer service there ware blocked my account with out any response",2021-04-07 17:23,{1: 'Bad'}
Deliveroo,606de973f85d7508704e14f3,606de59ac61786001b81446d,Absolutely disgusting i made an account…,Absolutely disgusting i made an account with my own phone number and my own email address but because i wanted too share my first order with my 8 year old niece and my cousin that are both in my bubble... i had cash but my cousin had money on her card and we did the order put the code in and accepted that we have £10 taken off then put in the card details and placed the order but a message came up saying the restraunt wasnt delivering food so we rang them and they said they are delivering so i thought ok ill try again then it shows the amount taken off then i tried ordering then it says timed out so entered everything again and now the code is invalid so i rang them up too explain and they sound American or Indians pretending too be Americans playing a Christmas auto msg when passing me over too 2 people and she said its because i paid off my cousins card and i tried too explain the reason why it was off my cousins card is because i only have cash but she put the phone down while i was explaining i am never ordering from deliveroo uk again absolutely fuming,2021-04-07 17:18,{1: 'Bad'}
Deliveroo,606de846f85d7508704e1198,606de841402b0e001a988f2b,Misleading customers to the highest…,Misleading customers to the highest degree. AVOID!,2021-04-07 17:13,{1: 'Bad'}
Deliveroo,606dd541f85d7508704dda6d,5b26dd344de5666d34eb13d4,Frankly awful service all round,"Frankly awful service all round. Second time I've given you guys a go after an awful experience first time (Nandos, nightmare with drivers arriving three times and numerous calls to Nandos and Deliveroo with nobody having a clue what the other is doing, or the drivers!) Ordered food from Aldi, 2 items didnt arrive, yet when I queried it I was told my request was not accepted and no refund for the items I didnt even receive would be made! How can that be acceptable?? I email to state I was very unhappy and that was ignored and the full amount debited from my account. I then spoke to someone on twitter who got back to me, but then on supplying more info nobody has got back since... absolutely shocking service and if I can help it I'd not use your service again if there's other options I can take.",2021-04-07 15:52,{1: 'Bad'}
Deliveroo,606d63a7f85d7508704c9e05,5ff85a18df7de3001bda892b,Deliveroo driver delivered food in a…,Deliveroo driver delivered food in a block of flats.  After this he urinated inside the lobby of the block.  I would suggest some better vetting of your staff.,2021-04-07 07:47,{1: 'Bad'}
Deliveroo,606cd29ef85d7508704c2b3a,5e132a436af5025cdf321694,This is not the first bad experience…,"This is not the first bad experience I've had with this scam company but it will be the last. One of their drivers stole our food, Deliveroo admitted fault immediately and created another order but they missed items off it. They've then refused to replace the items and just credited the account which is no good to us as we're not going to be using them again. Any restaurants who use Deliveroo, please move to a service like Just Eat. Deliveroo have disgraceful customer service and it's only going to cost you money with the tens of thousands of people Deliveroo are losing to rival apps.",2021-04-06 21:29,{1: 'Bad'}
Deliveroo,606cd01df85d7508704c27da,606ccfe826bd26001b4410a6,"Scam! Charged multiple times for missing items, refused a refund","SCAM - I am surprised they are still allowed to operate! Customer service is terribly poor (at least in Edinburgh, Scotland, though since it's an international company, it's probably the same everywhere). A restaurant (Subway) failed to deliver some items and also delivered wrong items - I was refused a refund, basically paying for food that never arrived. Talking to Deliveroo ""live agents"" feels like talking to a rude chatbot - it looks like they have a system where they will refund you once or twice but will stop refunding after that as if it were the customer's fault that he or she receives an incomplete or wrong order more than twice. I order quite frequently and am a paying ""Deliveroo plus"" subscriber (though after recent experiences I will not be renewing my subscription).The script with ""live agents"" (although ""zombie agents"" would be a more accurate description) usually goes like this:1) I'm sorry to hear that - let me look into it for you.2) Thanks for waiting. I'm sorry for the problems you've had with your order, we will take your feedback on board and work on improving the experience next time. We're unable to offer you a refund in this instance.When challenged why they charge for wrong items or items that never arrived, they respond with:1) We review each claim on a case by case basis and have taken all the information you have provided into consideration. Based on the information available, we're unable to offer you a refund.2) I'm sorry that you are unhappy with the resolution, if you would like to discuss this further, please send us an email to [Deliveroo's email address]They claim to contact you by email within 24-48 hours but at least on two separate occasions failed to do so.I strongly encourage other people in the same situation to take LEGAL ACTION against Deliveroo using SMALL CLAIMS COURT or similar courts in your jurisdiction. Being forced to pay for food that never arrived is stealing and would never happen in an actual restaurant - they really are milking it during the lockdown/pandemic when very few alternatives are available and most people can't be bothered spending so much time chasing a huge unresponsive company that steals from people while many are struggling financially due to the pandemic.UNETHICAL AND RUDE!",2021-04-06 21:18,{1: 'Bad'}
Deliveroo,606cce21f85d7508704c251f,605dc3e031c2db001939174c,Great restaurant selection compared to…,"Great restaurant selection compared to UberEats, and nice app experience.Yes...sometimes you have delays, but I guess you can't predict all variables at play when a driver is on the road. Whenever I had an issue I got a refund.",2021-04-06 21:09,{4: 'Great'}
